year,month,nominal_federal_mw,real_federal_mw,extended_chained_cpi
1938,10,0.25,4.54,9.6
1938,11,0.25,4.54,9.6
1938,12,0.25,4.54,9.6
1939,1,0.25,4.54,9.6
1939,2,0.25,4.59,9.5
1939,3,0.25,4.59,9.5
1939,4,0.25,4.64,9.4
1939,5,0.25,4.64,9.4
1939,6,0.25,4.64,9.4
1939,7,0.25,4.64,9.4
1939,8,0.25,4.64,9.4
1939,9,0.25,4.5,9.7
1939,10,0.3,5.45,9.6
1939,11,0.3,5.45,9.6
1939,12,0.3,5.45,9.6
1940,1,0.3,5.51,9.5
1940,2,0.3,5.45,9.6
1940,3,0.3,5.45,9.6
1940,4,0.3,5.45,9.6
1940,5,0.3,5.45,9.6
1940,6,0.3,5.4,9.7
1940,7,0.3,5.45,9.6
1940,8,0.3,5.45,9.6
1940,9,0.3,5.45,9.6
1940,10,0.3,5.45,9.6
1940,11,0.3,5.45,9.6
1940,12,0.3,5.4,9.7
1941,1,0.3,5.4,9.7
1941,2,0.3,5.4,9.7
1941,3,0.3,5.4,9.7
1941,4,0.3,5.34,9.8
1941,5,0.3,5.29,9.9
1941,6,0.3,5.18,10.1
1941,7,0.3,5.18,10.1
1941,8,0.3,5.13,10.2
1941,9,0.3,5.08,10.3
1941,10,0.3,4.99,10.5
1941,11,0.3,4.99,10.5
1941,12,0.3,4.94,10.6
1942,1,0.3,4.89,10.7
1942,2,0.3,4.85,10.8
1942,3,0.3,4.76,11
1942,4,0.3,4.76,11
1942,5,0.3,4.67,11.2
1942,6,0.3,4.67,11.2
1942,7,0.3,4.67,11.2
1942,8,0.3,4.63,11.3
1942,9,0.3,4.63,11.3
1942,10,0.3,4.59,11.4
1942,11,0.3,4.55,11.5
1942,12,0.3,4.51,11.6
1943,1,0.3,4.51,11.6
1943,2,0.3,4.51,11.6
1943,3,0.3,4.44,11.8
1943,4,0.3,4.4,11.9
1943,5,0.3,4.36,12
1943,6,0.3,4.36,12
1943,7,0.3,4.4,11.9
1943,8,0.3,4.44,11.8
1943,9,0.3,4.4,11.9
1943,10,0.3,4.4,11.9
1943,11,0.3,4.4,11.9
1943,12,0.3,4.4,11.9
1944,1,0.3,4.4,11.9
1944,2,0.3,4.4,11.9
1944,3,0.3,4.4,11.9
1944,4,0.3,4.36,12
1944,5,0.3,4.36,12
1944,6,0.3,4.36,12
1944,7,0.3,4.33,12.1
1944,8,0.3,4.33,12.1
1944,9,0.3,4.33,12.1
1944,10,0.3,4.33,12.1
1944,11,0.3,4.33,12.1
1944,12,0.3,4.29,12.2
1945,1,0.3,4.29,12.2
1945,2,0.3,4.29,12.2
1945,3,0.3,4.29,12.2
1945,4,0.3,4.29,12.2
1945,5,0.3,4.26,12.3
1945,6,0.3,4.22,12.4
1945,7,0.3,4.22,12.4
1945,8,0.3,4.22,12.4
1945,9,0.3,4.22,12.4
1945,10,0.4,5.63,12.4
1945,11,0.4,5.63,12.4
1945,12,0.4,5.58,12.5
1946,1,0.4,5.58,12.5
1946,2,0.4,5.63,12.4
1946,3,0.4,5.58,12.5
1946,4,0.4,5.54,12.6
1946,5,0.4,5.5,12.7
1946,6,0.4,5.45,12.8
1946,7,0.4,5.13,13.6
1946,8,0.4,5.06,13.8
1946,9,0.4,4.99,14
1946,10,0.4,4.92,14.2
1946,11,0.4,4.78,14.6
1946,12,0.4,4.75,14.7
1947,1,0.4,4.75,14.7
1947,2,0.4,4.72,14.8
1947,3,0.4,4.62,15.1
1947,4,0.4,4.62,15.1
1947,5,0.4,4.65,15
1947,6,0.4,4.59,15.2
1947,7,0.4,4.59,15.2
1947,8,0.4,4.56,15.3
1947,9,0.4,4.47,15.6
1947,10,0.4,4.47,15.6
1947,11,0.4,4.42,15.8
1947,12,0.4,4.36,16
1948,1,0.4,4.31,16.2
1948,2,0.4,4.31,16.2
1948,3,0.4,4.34,16.1
1948,4,0.4,4.28,16.3
1948,5,0.4,4.23,16.5
1948,6,0.4,4.23,16.5
1948,7,0.4,4.18,16.7
1948,8,0.4,4.15,16.8
1948,9,0.4,4.18,16.7
1948,10,0.4,4.2,16.6
1948,11,0.4,4.2,16.6
1948,12,0.4,4.23,16.5
1949,1,0.4,4.26,16.4
1949,2,0.4,4.26,16.4
1949,3,0.4,4.26,16.4
1949,4,0.4,4.26,16.4
1949,5,0.4,4.26,16.4
1949,6,0.4,4.26,16.4
1949,7,0.4,4.31,16.2
1949,8,0.4,4.31,16.2
1949,9,0.4,4.28,16.3
1949,10,0.4,4.31,16.2
1949,11,0.4,4.31,16.2
1949,12,0.4,4.31,16.2
1950,1,0.75,8.13,16.1
1950,2,0.75,8.08,16.2
1950,3,0.75,8.08,16.2
1950,4,0.75,8.08,16.2
1950,5,0.75,8.08,16.2
1950,6,0.75,7.98,16.4
1950,7,0.75,7.93,16.5
1950,8,0.75,7.93,16.5
1950,9,0.75,7.84,16.7
1950,10,0.75,7.84,16.7
1950,11,0.75,7.79,16.8
1950,12,0.75,7.65,17.1
1951,1,0.75,7.52,17.4
1951,2,0.75,7.39,17.7
1951,3,0.75,7.35,17.8
1951,4,0.75,7.35,17.8
1951,5,0.75,7.35,17.8
1951,6,0.75,7.39,17.7
1951,7,0.75,7.39,17.7
1951,8,0.75,7.39,17.7
1951,9,0.75,7.31,17.9
1951,10,0.75,7.31,17.9
1951,11,0.75,7.27,18
1951,12,0.75,7.23,18.1
1952,1,0.75,7.23,18.1
1952,2,0.75,7.23,18.1
1952,3,0.75,7.23,18.1
1952,4,0.75,7.23,18.1
1952,5,0.75,7.23,18.1
1952,6,0.75,7.23,18.1
1952,7,0.75,7.15,18.3
1952,8,0.75,7.15,18.3
1952,9,0.75,7.15,18.3
1952,10,0.75,7.15,18.3
1952,11,0.75,7.15,18.3
1952,12,0.75,7.15,18.3
1953,1,0.75,7.19,18.2
1953,2,0.75,7.19,18.2
1953,3,0.75,7.19,18.2
1953,4,0.75,7.15,18.3
1953,5,0.75,7.15,18.3
1953,6,0.75,7.15,18.3
1953,7,0.75,7.15,18.3
1953,8,0.75,7.11,18.4
1953,9,0.75,7.11,18.4
1953,10,0.75,7.07,18.5
1953,11,0.75,7.11,18.4
1953,12,0.75,7.11,18.4
1954,1,0.75,7.11,18.4
1954,2,0.75,7.07,18.5
1954,3,0.75,7.11,18.4
1954,4,0.75,7.15,18.3
1954,5,0.75,7.11,18.4
1954,6,0.75,7.11,18.4
1954,7,0.75,7.11,18.4
1954,8,0.75,7.11,18.4
1954,9,0.75,7.15,18.3
1954,10,0.75,7.19,18.2
1954,11,0.75,7.15,18.3
1954,12,0.75,7.15,18.3
1955,1,0.75,7.15,18.3
1955,2,0.75,7.11,18.4
1955,3,0.75,7.11,18.4
1955,4,0.75,7.11,18.4
1955,5,0.75,7.15,18.3
